Tube ,16S.shannon,16S.otus
2,7.590278439,299
3,7.84497944,354
4,7.552832232,307
5,7.707271899,313
6,7.764719865,339
7,8.765679571,668
8,8.355452607,545
9,7.688166815,303
10,7.694696359,364
12,8.109946489,412
14,8.267941022,531
15,8.72140053,715
16,8.277955775,491
17,8.148492324,436
18,8.123261022,465
19,7.282717294,242
22,7.519298013,278
23,7.810787638,364
24,8.449747738,499
26,7.937541872,374
27,8.003495778,411
29,7.716866362,332
30,7.604381139,267
31,6.924204806,196
32,7.766658914,400
33,7.468594623,302
34,8.007157464,415
35,7.4915157,286
36,7.650943119,345
37,7.670744884,285
38,7.506833496,273
39,6.419238541,185
40,7.670940977,318
41,7.269418048,290
42,7.405298806,271
43,7.735936045,305
44,7.501025264,280
45,7.614614891,296
47,7.435551521,314
48,6.897087362,213
49,7.993701717,405
51,7.510013938,290
52,7.9741289,392
54,8.106228199,425
55,7.340603147,254
56,7.494042619,284
57,7.745008819,321
58,7.803772564,334
60,7.307714594,234
61,7.734615382,328
64,7.820134575,356
65,7.070517737,225
66,7.747266224,339
67,7.348591818,264
68,7.894335597,374
69,7.11521446,205
70,7.769757825,357
71,7.133151798,255
72,7.341674495,307
74,7.561887481,319
77,7.479927475,304
79,7.09781436,224
81,7.371049215,291
85,6.510869194,174
88,7.424233898,286
90,6.697171586,202
91,9.923773827,1873
92,7.024446806,250
93,7.329850109,275
94,7.271276895,289
95,6.684769475,229
96,7.403351029,287
97,7.084249184,262
98,7.313846196,285
99,7.768472525,398
100,7.31259036,271
102,8.134295994,423
103,7.313044092,312
107,9.588327692,1511
108,9.397599405,1482
109,9.738380464,1521
110,9.662189341,1510
111,7.388717767,286
112,8.286453054,577
113,7.908311342,459
114,8.328388092,508
115,8.467629686,615
116,7.900741047,427
117,8.262376936,572
118,8.449686699,649
119,8.317699598,540
120,8.224720466,526
121,7.791021281,340
122,8.353826879,537
123,7.858763545,442
124,8.419121011,505
125,8.377590496,471
126,7.834832896,362
127,8.182746001,459
128,8.387044672,512
129,8.682003668,601
130,8.557399945,536
131,7.77313471,375
132,9.584626936,1272
133,8.223121194,480
134,8.443272878,513
135,8.377734205,506
136,8.130627578,472
137,8.283747343,547
138,8.446173865,500
139,8.14168566,439
140,8.398252996,527
141,7.99564364,448
142,8.574941933,594
143,7.949484354,439
144,8.369210937,501
145,7.71520105,368
146,8.265598845,455
147,8.638353159,600
148,8.438785118,516
149,8.433797329,499
150,8.840431529,764
151,7.474604741,336
152,10.35955935,2106
153,8.145414896,460
154,9.929828739,1632
155,9.732103357,1423
157,8.675302394,661
158,8.097340847,469
159,8.196916449,431
160,7.6646205,318
161,7.346363244,267
162,7.596664712,289
163,7.300597773,300
164,8.662650803,690
165,7.332379633,230
166,7.033102904,288
167,7.314841858,350
169,8.004929451,466
170,7.864972562,423
172,7.780236298,373
173,7.787414899,426
174,8.529889642,608
175,7.611209816,375
176,7.516568248,421
177,7.675435415,371
178,7.972103524,409
179,8.038339435,434
180,7.893692143,353
181,7.023941475,223
182,8.291115509,494
183,7.83701484,511
185,8.058389525,472
186,7.24173103,257
187,7.245845667,254
188,7.991108605,413
190,8.286393686,538
191,7.430662297,288
192,7.930125273,425
194,7.558952559,318
195,7.594921061,323
196,8.005748105,487
198,7.763065592,387
199,8.49391649,614
200,8.081087831,470
201,7.68449825,307
202,8.536924093,615
203,8.357132746,501
204,9.026209204,786
205,8.355210838,484
206,8.012156034,448
207,9.023410629,826
208,7.889250394,352
210,7.565311403,331
211,8.651142129,621
212,7.88301257,368
213,7.716119475,339
214,7.423231019,292
215,7.597353573,299
217,7.716961019,354
218,6.960329921,247
220,7.219003913,290
221,7.093161611,257
222,7.312389845,265
223,7.278888963,293
224,6.879414861,232
225,7.284107095,295
226,7.216854762,300
227,7.127381238,307
228,7.246133159,273
229,7.558552342,387
230,6.835125873,264
231,7.775876481,378
232,6.71589804,245
233,7.047015166,305
234,7.0413881,286
235,7.562944483,347
236,7.290024437,300
237,7.547336102,310
238,7.245453459,228
239,7.424743741,251
240,7.691346614,294
241,7.181398941,245
242,7.224397743,238
243,7.052827016,217
245,7.132170873,238
246,7.199001951,233
247,7.103497067,226
248,7.082650753,236
250,7.15467284,236
251,7.280713062,279
252,7.307313094,264
253,7.298790228,269
255,6.970594858,223
256,7.355067769,245
NTC1,5.394536687,78
NTC2,2.711667313,14
